Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code,Loan_Purpose,Policy_Code_Group,Year,Quarter,Risk_Score_Bin
3900.0,2007-05-28,need to consolidate,710.0,10.0,705xx,LA,10,0.0,need to consolidate,Standard Decline,2007,2,700-800
12000.0,2007-05-29,Finish Off College,704.0,10.0,462xx,IN,2,0.0,finish off college,Standard Decline,2007,2,700-800
6500.0,2007-08-15,mandmboysfan,715.0,16.57,554xx,MN,3,0.0,mandmboysfan,Standard Decline,2007,3,700-800
16000.0,2007-11-25,jdewitt71,698.0,18.69,461xx,IN,3,0.0,jdewitt71,Standard Decline,2007,4,600-700
5000.0,2007-11-26,major_purchase,690.0,0.0,210xx,MD,6,0.0,major_purchase,Standard Decline,2007,4,600-700
25000.0,2007-11-26,kamyers30,699.0,29.72,212xx,MD,3,0.0,kamyers30,Standard Decline,2007,4,600-700
6500.0,2007-12-05,other,727.0,15.4,023xx,MA,6,0.0,Other,Standard Decline,2007,4,700-800
20000.0,2007-12-06,Credit,703.0,11.91,080xx,NJ,10,0.0,credit,Standard Decline,2007,4,700-800
11000.0,2007-12-16,Personal Loan Request,716.0,4.3,712xx,LA,2,0.0,personal loan request,Standard Decline,2007,4,700-800
5000.0,2007-12-17,other,689.0,25.05,761xx,TX,4,0.0,Other,Standard Decline,2007,4,600-700
20000.0,2007-12-28,"$20,000 Loan Request",716.0,14.31,328xx,FL,4,0.0,"$20,000 loan request",Standard Decline,2007,4,700-800
21000.0,2007-12-31,silentmeow12,690.0,17.85,021xx,MA,4,0.0,silentmeow12,Standard Decline,2007,4,600-700
20000.0,2007-12-31,debt_consolidation,709.0,25.09,104xx,NY,8,0.0,Debt Consolidation,Standard Decline,2007,4,700-800
15000.0,2008-01-02,other,709.0,22.37,231xx,VA,10,0.0,Other,Standard Decline,2008,1,700-800
5000.0,2008-01-03,debt_consolidation,684.0,2.72,104xx,NY,10,0.0,Debt Consolidation,Standard Decline,2008,1,600-700
2000.0,2008-01-04,mbegarowicz,680.0,9.9,481xx,MI,10,0.0,mbegarowicz,Standard Decline,2008,1,600-700
15000.0,2008-01-07,major_purchase,721.0,11.27,100xx,NY,10,0.0,major_purchase,Standard Decline,2008,1,700-800
16000.0,2008-01-12,debt_consolidation,702.0,20.64,803xx,CO,6,0.0,Debt Consolidation,Standard Decline,2008,1,700-800
7000.0,2008-01-14,Major Purchase,698.0,1.07,906xx,CA,10,0.0,major purchase,Standard Decline,2008,1,600-700
10000.0,2008-01-14,debt_consolidation,705.0,22.88,993xx,WA,3,0.0,Debt Consolidation,Standard Decline,2008,1,700-800
10475.0,2008-01-15,josh's loan,698.0,17.36,159xx,PA,6,0.0,josh's loan,Standard Decline,2008,1,600-700
10000.0,2008-01-17,Bills accumulated during college :-(,689.0,14.73,980xx,WA,4,0.0,bills accumulated during college :-(,Standard Decline,2008,1,600-700
23000.0,2008-01-18,Loan with Confidence,713.0,27.96,608xx,IL,10,0.0,loan with confidence,Standard Decline,2008,1,700-800
25000.0,2008-01-19,melomac,693.0,20.17,606xx,IL,10,0.0,melomac,Standard Decline,2008,1,600-700
8000.0,2008-01-21,Bills,695.0,24.18,953xx,CA,2,0.0,bills,Standard Decline,2008,1,600-700
12750.0,2008-01-21,Medical expenses,739.0,26.44,334xx,FL,10,0.0,Medical,Standard Decline,2008,1,700-800
8000.0,2008-01-22,Teacher refinancing credit card debt,744.0,19.48,585xx,MN,9,0.0,teacher refinancing credit card debt,Standard Decline,2008,1,700-800
22000.0,2008-01-23,debt_consolidation,736.0,0.02,950xx,CA,10,0.0,Debt Consolidation,Standard Decline,2008,1,700-800
20000.0,2008-02-03,other,735.0,28.78,234xx,VA,4,0.0,Other,Standard Decline,2008,1,700-800
20500.0,2008-02-04,debt_consolidation,716.0,0.47,288xx,NC,6,0.0,Debt Consolidation,Standard Decline,2008,1,700-800
2000.0,2008-02-14,motorcycle,709.0,0.84,321xx,FL,4,0.0,motorcycle,Standard Decline,2008,1,700-800
25000.0,2008-02-15,thatley,713.0,17.24,282xx,NC,10,0.0,thatley,Standard Decline,2008,1,700-800
25000.0,2008-02-15,Consolidate debt and needed home repairs,698.0,17.44,780xx,TX,3,0.0,consolidate debt and needed home repairs,Standard Decline,2008,1,600-700
10000.0,2008-02-16,debt_consolidation,713.0,25.93,338xx,FL,10,0.0,Debt Consolidation,Standard Decline,2008,1,700-800
10000.0,2008-02-17,debt_consolidation,719.0,20.82,577xx,SD,8,0.0,Debt Consolidation,Standard Decline,2008,1,700-800
15000.0,2008-02-18,helpingothers,699.0,9.39,430xx,OH,4,0.0,helpingothers,Standard Decline,2008,1,600-700
2800.0,2008-02-21,National14,695.0,8.83,741xx,OK,4,0.0,national14,Standard Decline,2008,1,600-700
2000.0,2008-02-22,jetman2112,683.0,26.4,170xx,PA,6,0.0,jetman2112,Standard Decline,2008,1,600-700
20000.0,2008-02-25,to open japanese resturant .,705.0,4.28,784xx,TX,4,0.0,to open japanese resturant .,Standard Decline,2008,1,700-800
25000.0,2008-02-27,minic22,682.0,18.11,920xx,CA,7,0.0,minic22,Standard Decline,2008,1,600-700
20000.0,2008-02-28,debt_consolidation,703.0,24.23,021xx,MA,2,0.0,Debt Consolidation,Standard Decline,2008,1,700-800
10000.0,2008-03-03,slimz29,686.0,12.14,282xx,NC,4,0.0,slimz29,Standard Decline,2008,1,600-700
24700.0,2008-03-11,ONE single payment for my 4 credit cards,682.0,11.58,917xx,CA,3,0.0,one single payment for my 4 credit cards,Standard Decline,2008,1,600-700
5000.0,2008-03-21,Refinance Car Loans,775.0,11.77,477xx,IN,2,0.0,refinance car loans,Standard Decline,2008,1,700-800
10000.0,2008-03-23,Paying off debt,797.0,15.57,616xx,IL,10,0.0,paying off debt,Standard Decline,2008,1,700-800
